plot_id;red_edge;green;blue;red;nir;timepoint
166;0.21370357;0.081637389;0.024767534;0.063137024;0.397671208;1.4
167;0.217112202;0.086965296;0.028299516;0.102948582;0.319048101;1.4
168;0.190812472;0.071810943;0.023366949;0.07250472;0.330339824;1.4
169;0.191049363;0.080457228;0.032231793;0.115614414;0.270824581;1.4
170;0.166526617;0.063093543;0.024184654;0.08900226;0.264179114;1.4
171;0.246063686;0.103233095;0.034416171;0.106549941;0.352925347;1.4
172;0.212266514;0.086707966;0.027990991;0.089409192;0.324361821;1.4
173;0.247063151;0.106290515;0.040534199;0.126707476;0.35054101;1.4
174;0.243496098;0.096623237;0.030873857;0.088423901;0.396970567;1.4
175;0.243433738;0.099896738;0.033096539;0.080368022;0.403026543;1.4
176;0.179129187;0.068525079;0.02286106;0.064223827;0.319005977;1.4
177;0.161555548;0.059304614;0.021937305;0.071634939;0.281038213;1.4
178;0.204895098;0.081522054;0.028459266;0.07905291;0.331808989;1.4
179;0.220329404;0.093544778;0.033814821;0.103193947;0.330340116;1.4
180;0.21441515;0.087809277;0.034105731;0.104115503;0.32495392;1.4
181;0.203765284;0.084085165;0.032933735;0.098923023;0.30881679;1.4
182;0.185580758;0.069373094;0.02240845;0.057102269;0.335130064;1.4
183;0.220007223;0.090690727;0.031377489;0.077154623;0.363930151;1.4
184;0.225661157;0.101754364;0.042738307;0.143420352;0.300525756;1.4
185;0.181855472;0.072645185;0.028295647;0.088128469;0.289126555;1.4
186;0.203228843;0.08384256;0.034030308;0.104974252;0.303785627;1.4
187;0.179830986;0.073949182;0.028585278;0.082635595;0.281700637;1.4
188;0.199153852;0.077905188;0.029667841;0.096906736;0.315898889;1.4
189;0.233452616;0.090161797;0.027986313;0.071457026;0.400554872;1.4
190;0.173725473;0.067145726;0.023721455;0.06488239;0.301616493;1.4
191;0.200029929;0.081003078;0.030528346;0.106448988;0.297121202;1.4
192;0.209794524;0.080513883;0.024835035;0.072248436;0.343597295;1.4
193;0.198156377;0.077469836;0.025982274;0.075391843;0.322634222;1.4
194;0.203750431;0.085146258;0.031535243;0.103971897;0.30636489;1.4
195;0.221223221;0.097437578;0.038633094;0.124132931;0.311799853;1.4
196;0.194508216;0.081704272;0.030852318;0.095590755;0.294581875;1.4
197;0.240026539;0.101406168;0.036955864;0.086694686;0.371309817;1.4
198;0.190784056;0.078171625;0.030504886;0.100645425;0.291911917;1.4
199;0.217348478;0.096013125;0.040502407;0.138874559;0.296307969;1.4
200;0.231004543;0.100843392;0.043205035;0.121070054;0.330059892;1.4
201;0.216547086;0.095470303;0.040498282;0.124514953;0.302484013;1.4
202;0.187345865;0.073237937;0.027490591;0.076391591;0.314219237;1.4
203;0.226603498;0.087686278;0.028698845;0.071978291;0.388072272;1.4
204;0.228832925;0.095342777;0.035394544;0.110900695;0.339723598;1.4
205;0.21719664;0.092805338;0.036288508;0.107648519;0.314464435;1.4
206;0.199860647;0.080553036;0.028758854;0.081352951;0.319357859;1.4
207;0.215699228;0.086583827;0.031976909;0.071545972;0.370632335;1.4
208;0.193620673;0.076452198;0.028413199;0.082340929;0.312064391;1.4
209;0.223539746;0.091105879;0.029050351;0.065001295;0.383256811;1.4
210;0.218701956;0.087647323;0.029707741;0.064620073;0.378896627;1.4
211;0.217022583;0.088057302;0.030994789;0.076355234;0.369010244;1.4
212;0.240522323;0.101498559;0.0349286;0.097747086;0.359218629;1.4
213;0.214114065;0.087975143;0.032477061;0.079345628;0.349257034;1.4
214;0.181778344;0.075879405;0.035115104;0.112015932;0.27726263;1.4
215;0.207315091;0.084219072;0.030813283;0.079390416;0.333498491;1.4
216;0.222983794;0.100404769;0.039434599;0.121542675;0.311320341;1.4
217;0.219744298;0.092172969;0.037563692;0.091677351;0.347328231;1.4
218;0.242691733;0.104919272;0.037902921;0.100836792;0.374858885;1.4
219;0.219818314;0.085122739;0.026520519;0.074831137;0.372170584;1.4
220;0.231827925;0.10017157;0.036979413;0.112813523;0.334648072;1.4
221;0.215170744;0.086803489;0.030119567;0.065100882;0.362243625;1.4
222;0.192941372;0.071415031;0.023887135;0.054542818;0.368211128;1.4
223;0.18578371;0.071524197;0.027089976;0.082495007;0.310547422;1.4
224;0.207138415;0.082413722;0.027123973;0.067812054;0.366354034;1.4
225;0.216038341;0.09292119;0.037977607;0.113070732;0.327870692;1.4
226;0.195277874;0.076794592;0.029484514;0.082737827;0.328496039;1.4
227;0.228792362;0.101727127;0.04479416;0.136771653;0.325887016;1.4
228;0.211977287;0.088191435;0.037468622;0.116173071;0.324970259;1.4
