Env;m;MeanCorr;SDCorr
MCG23;Model_0127;0.12;0.03
MCG23;Model_0282;0.12;0.03
MCG23;Model_0155;0.12;0.03
MCG23;Model_0310;0.12;0.03
MCG23;Model_0113;0.12;0.03
MCG23;Model_0268;0.12;0.03
MCG23;Model_0094;0.12;0.03
MCG23;Model_0249;0.12;0.03
MCG23;Model_0106;0.12;0.03
MCG23;Model_0261;0.12;0.03
MCG23;Model_0073;0.12;0.03
MCG23;Model_0228;0.12;0.03
MCG23;Model_0101;0.12;0.03
MCG23;Model_0256;0.12;0.03
MCG23;Model_0071;0.12;0.03
MCG23;Model_0226;0.12;0.03
MCG23;Model_0125;0.12;0.03
MCG23;Model_0280;0.12;0.03
MCG23;Model_0174;0.12;0.03
MCG23;Model_0329;0.12;0.03
MCG23;Model_0092;0.12;0.03
MCG23;Model_0247;0.12;0.03
MCG23;Model_0146;0.12;0.03
MCG23;Model_0301;0.12;0.03
MCG23;Model_0145;0.12;0.03
MCG23;Model_0300;0.12;0.03
MCG23;Model_0124;0.12;0.03
MCG23;Model_0279;0.12;0.03
MCG23;Model_0138;0.12;0.03
MCG23;Model_0293;0.12;0.03
MCG23;Model_0173;0.12;0.03
MCG23;Model_0328;0.12;0.03
MCG23;Model_0091;0.12;0.03
MCG23;Model_0246;0.12;0.03
MCG23;Model_0070;0.12;0.03
MCG23;Model_0225;0.12;0.03
MCG23;Model_0152;0.12;0.03
MCG23;Model_0307;0.12;0.03
MCG23;Model_0084;0.12;0.03
MCG23;Model_0239;0.12;0.03
MCG23;Model_0166;0.12;0.03
MCG23;Model_0321;0.12;0.03
MCG23;Model_0117;0.12;0.03
MCG23;Model_0272;0.12;0.03
MCG23;Model_0098;0.12;0.03
MCG23;Model_0253;0.12;0.03
MCG23;Model_0110;0.12;0.03
MCG23;Model_0265;0.12;0.03
MCG23;Model_0131;0.12;0.03
MCG23;Model_0286;0.12;0.03
MCG23;Model_0159;0.12;0.03
MCG23;Model_0314;0.12;0.03
MCG23;Model_0077;0.12;0.03
MCG23;Model_0232;0.12;0.03
MCG23;Model_0004;0.12;0.03
MCG23;Model_0009;0.12;0.03
MCG23;Model_0250;0.11;0.03
MCG23;Model_0067;0.11;0.02
MCG23;Model_0222;0.11;0.02
MCG23;Model_0081;0.11;0.02
MCG23;Model_0236;0.11;0.02
MCG23;Model_0163;0.11;0.02
MCG23;Model_0318;0.11;0.02
MCG23;Model_0262;0.11;0.03
MCG23;Model_0135;0.11;0.02
MCG23;Model_0290;0.11;0.02
MCG23;Model_0153;0.11;0.03
MCG23;Model_0308;0.11;0.03
MCG23;Model_0139;0.11;0.03
